id,club,player,reason,return_date,status,club_abbr,scraped_at,source_url
023d3b4e-5a08-4616-9118-f681d23dd04c,Chelsea,Reece James,Thigh Injury,18/04/2026,Currently Being Assessed - 25%,CFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
03dce027-89f5-43e0-acad-c4037d1b4a39,Manchester United,Matthijs de Ligt,Lower Back Injury,24/05/2026,Not Available - Ruled Out,MUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
049d597b-59d2-41b9-a8f1-6a850c3ed1aa,Fulham,Kenny Tete,Ankle/Foot Injury,25/04/2026,Not Available - Ruled Out,FUL,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
04b1ec40-f6bb-4cfd-b01a-7e5fa0453b15,Sunderland,Bertrand Isidore Traore,Knee Injury,02/05/2026,Not Available - Ruled Out,SUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
06f4b0f8-a49c-42c8-a1d8-953604bdcc83,Tottenham Hotspur,James Maddison,Knee Injury,24/05/2026,Not Available - Ruled Out,TOT,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
0732731d-582b-4f1e-adcd-cd6d23cc654a,Tottenham Hotspur,Pape Matar Sarr,Shoulder Injury,12/04/2026,Late Fitness Test - 75%,TOT,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
0a2b9e1f-1a9b-400f-b9e0-741a75e8a14f,AFC Bournemouth,Julio Soler,Thigh Injury,18/04/2026,Currently Being Assessed - 50%,BOU,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
0b48f94b-68b9-4016-8491-09b1c06f3b43,Brentford,Vitaly Janelt,Ankle/Foot Injury,02/05/2026,Not Available - Ruled Out,BRE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
0bb35a0f-27dc-478b-9fdd-bc61e5fff1bf,Brentford,Fabio Freitas Gouveia Carvalho,Knee Injury,12/09/2026,Not Available - Ruled Out,BRE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
0e7d2b3c-9abc-4c0a-a2ea-34f01ad34400,Tottenham Hotspur,Wilson Odobert,Knee Injury,28/11/2026,Not Available - Ruled Out,TOT,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
15e03cfa-418d-4199-8f68-a7bc734fc5ab,Aston Villa,Jadon Sancho,Shoulder Injury,12/04/2026,Late Fitness Test - 25%,AVL,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
16d1c383-27f8-4750-9eb3-7de162ed444a,Newcastle United,Bruno Guimaraes,Thigh Injury,25/04/2026,Not Available - Ruled Out,NEW,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
1a629d5e-4e6c-4fd3-b4e0-7015953cb5ed,Sunderland,Nilson Angulo,Other,19/04/2026,Currently Being Assessed - 25%,SUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
1aa63a8c-883f-4363-aaec-1dc08647e235,Sunderland,Romaine Mundle,Thigh Injury,17/05/2026,Not Available - Ruled Out,SUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
1b42313c-f403-4aac-a408-fc6206531a7e,Sunderland,Robin Roefs,Thigh Injury,12/04/2026,Passed Fit - 100%,SUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
1d306c99-da0f-4c0a-9671-f34cec8cbce8,Leeds United,Anton Stach,Ankle/Foot Injury,01/05/2026,Not Available - Ruled Out,LEE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
2162e863-7ea5-4b6f-a513-1a112ea0c16e,Aston Villa,Boubacar Kamara,Knee Injury,01/06/2026,Not Available - Ruled Out,AVL,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
218555a5-eb9b-4e94-a529-1cf2ecd45d5a,AFC Bournemouth,Lewis Cook,Thigh Injury,22/04/2026,Not Available - Ruled Out,BOU,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
2a6cc058-625d-4daf-8100-6ae7d35aff38,Brighton & Hove Albion,James Milner,Other,18/04/2026,Currently Being Assessed - 50%,BRI,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
2f068261-6ced-43ce-a05b-1ef2320df0f4,Manchester United,Harry Maguire,Suspended,18/04/2026,Not Available - Ruled Out,MUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
2f5224e2-fe82-4003-af90-696d72ead559,Brentford,Joshua Dasilva,Knee Injury,17/05/2026,Not Available - Ruled Out,BRE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
34844ab9-1533-4be7-b03a-71f2590c12d6,Arsenal,Mikel Merino,Ankle/Foot Injury,24/05/2026,Not Available - Ruled Out,ARS,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
3557a2d2-c19a-42c9-adcd-319e29256e51,Arsenal,Bukayo Saka,Other,15/04/2026,Currently Being Assessed - 50%,ARS,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
